ID_REF,t_score,probe_group,critical_abs_value,index
ch.1.101940785F,-0.5317222231194173,ch.1.,2.228138851986274,FALSE
ch.1.1021960F,1.0064582022039406,ch.1.,2.228138851986274,FALSE
ch.1.1026209F,0.955866288441505,ch.1.,2.228138851986274,FALSE
ch.1.103396251R,2.2946452222064546,ch.1.,2.228138851986274,TRUE
ch.1.1047298R,0.9773042363654384,ch.1.,2.228138851986274,FALSE
ch.1.107099706F,1.1422851394653477,ch.1.,2.228138851986274,FALSE
ch.1.1073856R,1.3546711374008962,ch.1.,2.228138851986274,FALSE
ch.1.1078655R,-0.26020556786802973,ch.1.,2.228138851986274,FALSE
ch.1.1079286F,-0.1211683954267329,ch.1.,2.228138851986274,FALSE
ch.1.113470988R,1.104679277799706,ch.1.,2.228138851986274,FALSE
ch.1.115475395F,0.9176560819842957,ch.1.,2.228138851986274,FALSE
ch.1.1158789F,-0.5884811211522901,ch.1.,2.228138851986274,FALSE
ch.1.117057666F,1.0222234981630576,ch.1.,2.228138851986274,FALSE
ch.1.1180380F,-0.6310528818396104,ch.1.,2.228138851986274,FALSE
ch.1.118680314R,0.7475474907097556,ch.1.,2.228138851986274,FALSE
ch.1.1187063R,1.1332243298081124,ch.1.,2.228138851986274,FALSE
ch.1.1189675R,-1.0859829162709715,ch.1.,2.228138851986274,FALSE
ch.1.119678825R,0.6106426158647663,ch.1.,2.228138851986274,FALSE
ch.1.1248481R,1.4864783140989386,ch.1.,2.228138851986274,FALSE
ch.1.1249065F,0.9545800036269599,ch.1.,2.228138851986274,FALSE
ch.1.1254747R,1.4901104032627936,ch.1.,2.228138851986274,FALSE
ch.1.1262625R,-1.1271484267136112,ch.1.,2.228138851986274,FALSE
ch.1.1268752F,1.5917783438176347,ch.1.,2.228138851986274,FALSE
ch.1.131529R,-0.19080516601144393,ch.1.,2.228138851986274,FALSE
ch.1.1337107R,1.5517328259407903,ch.1.,2.228138851986274,FALSE
ch.1.1343023F,0.31947004155820147,ch.1.,2.228138851986274,FALSE
ch.1.1356605F,-3.2938928487652177,ch.1.,2.228138851986274,TRUE
ch.1.1363396R,-0.39205624332826083,ch.1.,2.228138851986274,FALSE
ch.1.1391820F,0.23239312959240718,ch.1.,2.228138851986274,FALSE
ch.1.1392349R,0.3783312008502686,ch.1.,2.228138851986274,FALSE
ch.1.1416966F,0.9651287834243473,ch.1.,2.228138851986274,FALSE
ch.1.1435098R,1.4730269504352853,ch.1.,2.228138851986274,FALSE
ch.1.152821083R,-0.0900706759207096,ch.1.,2.228138851986274,FALSE
ch.1.1540554F,-0.2816298837893135,ch.1.,2.228138851986274,FALSE
ch.1.155481287R,2.0848186783346745,ch.1.,2.228138851986274,FALSE
ch.1.155658901R,0.47237179147780345,ch.1.,2.228138851986274,FALSE
ch.1.155695640R,1.1664200351709815,ch.1.,2.228138851986274,FALSE
ch.1.156669547F,-0.3969798480666173,ch.1.,2.228138851986274,FALSE
ch.1.159013533R,-0.09543100411710999,ch.1.,2.228138851986274,FALSE
ch.1.1603567F,-0.2881082041576522,ch.1.,2.228138851986274,FALSE
ch.1.1604750R,0.4820271428594464,ch.1.,2.228138851986274,FALSE
ch.1.161896946R,0.6249409714468872,ch.1.,2.228138851986274,FALSE
ch.1.162023970R,1.4344287360629187,ch.1.,2.228138851986274,FALSE
ch.1.162671525R,1.5693292317632093,ch.1.,2.228138851986274,FALSE
ch.1.169608016R,-0.29042186424620436,ch.1.,2.228138851986274,FALSE
ch.1.1697717F,0.5663523454860031,ch.1.,2.228138851986274,FALSE
ch.1.171672612F,1.5205845739420785,ch.1.,2.228138851986274,FALSE
ch.1.172034581R,0.6797838965932123,ch.1.,2.228138851986274,FALSE
ch.1.173201084F,1.8658054629170684,ch.1.,2.228138851986274,FALSE
ch.1.173210533F,1.0506013137922585,ch.1.,2.228138851986274,FALSE
ch.1.173249385R,1.0571311712958176,ch.1.,2.228138851986274,FALSE
ch.1.175985039R,0.1750225418428623,ch.1.,2.228138851986274,FALSE
ch.1.1767330R,-0.13235393977189058,ch.1.,2.228138851986274,FALSE
ch.1.179457656R,-0.61233014884741,ch.1.,2.228138851986274,FALSE
ch.1.180325684F,0.4213436408421447,ch.1.,2.228138851986274,FALSE
ch.1.180997836R,0.21233810523523192,ch.1.,2.228138851986274,FALSE
ch.1.183610071R,0.9837665409479415,ch.1.,2.228138851986274,FALSE
ch.1.1854513R,0.12386892698549132,ch.1.,2.228138851986274,FALSE
ch.1.186147687F,0.3498340094224994,ch.1.,2.228138851986274,FALSE
ch.1.189720737F,1.5093151913761087,ch.1.,2.228138851986274,FALSE
ch.1.190144434F,1.2394196211522073,ch.1.,2.228138851986274,FALSE
ch.1.191152977F,-1.5958793140220033,ch.1.,2.228138851986274,FALSE
ch.1.191890432F,0.08704347479436852,ch.1.,2.228138851986274,FALSE
ch.1.193863993R,0.6632821429592599,ch.1.,2.228138851986274,FALSE
ch.1.194281253F,-0.9876264062956102,ch.1.,2.228138851986274,FALSE
ch.1.194336624R,0.24389494888228289,ch.1.,2.228138851986274,FALSE
ch.1.194404001R,0.21638889105354878,ch.1.,2.228138851986274,FALSE
ch.1.194862R,1.1028478404638,ch.1.,2.228138851986274,FALSE
ch.1.196707923R,0.8278559380073333,ch.1.,2.228138851986274,FALSE
ch.1.196733536R,-0.47920286697758324,ch.1.,2.228138851986274,FALSE
ch.1.198498029R,-0.4240259670650199,ch.1.,2.228138851986274,FALSE
ch.1.198578402R,1.4644714879833647,ch.1.,2.228138851986274,FALSE
ch.1.200256956R,-0.19563571112001374,ch.1.,2.228138851986274,FALSE
ch.1.201092638F,-0.7813269411177742,ch.1.,2.228138851986274,FALSE
ch.1.201279582R,0.3554064177596384,ch.1.,2.228138851986274,FALSE
ch.1.207058233R,1.0653294209181945,ch.1.,2.228138851986274,FALSE
ch.1.207365939R,1.0253227402392104,ch.1.,2.228138851986274,FALSE
ch.1.207470409R,-0.4183557686515666,ch.1.,2.228138851986274,FALSE
ch.1.207470500F,2.345350224515693,ch.1.,2.228138851986274,TRUE
ch.1.2093982R,0.014200410270862,ch.1.,2.228138851986274,FALSE
ch.1.2110356R,0.22482295928775617,ch.1.,2.228138851986274,FALSE
ch.1.212120986F,0.4921087025494752,ch.1.,2.228138851986274,FALSE
ch.1.213050838F,1.3238383473289397,ch.1.,2.228138851986274,FALSE
ch.1.213506027F,0.21176000951976515,ch.1.,2.228138851986274,FALSE
ch.1.217016503F,1.865475113706822,ch.1.,2.228138851986274,FALSE
ch.1.217627000R,0.95950863162697,ch.1.,2.228138851986274,FALSE
ch.1.219274665F,1.5509029397317116,ch.1.,2.228138851986274,FALSE
ch.1.219558214F,-0.5715551039591549,ch.1.,2.228138851986274,FALSE
ch.1.219763287F,1.2757354663304292,ch.1.,2.228138851986274,FALSE
ch.1.222606050F,0.04571180478313125,ch.1.,2.228138851986274,FALSE
ch.1.224314189F,0.10827588931890648,ch.1.,2.228138851986274,FALSE
ch.1.224723245R,0.02392833890438596,ch.1.,2.228138851986274,FALSE
ch.1.226360333F,-0.8160127264802972,ch.1.,2.228138851986274,FALSE
ch.1.227099949R,2.1102857390708416,ch.1.,2.228138851986274,FALSE
ch.1.227329902F,0.8327712024906583,ch.1.,2.228138851986274,FALSE
ch.1.228006015R,0.7698151213533493,ch.1.,2.228138851986274,FALSE
ch.1.228777R,1.3974283605597568,ch.1.,2.228138851986274,FALSE
ch.1.2289685F,-0.020841353253125028,ch.1.,2.228138851986274,FALSE
ch.1.230734885R,1.0323813207049264,ch.1.,2.228138851986274,FALSE
ch.1.230766435F,0.6405340901586374,ch.1.,2.228138851986274,FALSE
ch.1.231737468F,0.29499803921129203,ch.1.,2.228138851986274,FALSE
ch.1.233191923R,2.7046759924749386,ch.1.,2.228138851986274,TRUE
ch.1.2344685R,-0.11381652632221947,ch.1.,2.228138851986274,FALSE
ch.1.234734F,2.052091970815363,ch.1.,2.228138851986274,FALSE
ch.1.2348804F,2.14325386968196,ch.1.,2.228138851986274,FALSE
ch.1.236086654F,1.0285802553719383,ch.1.,2.228138851986274,FALSE
ch.1.237398078F,2.0211774223699632,ch.1.,2.228138851986274,FALSE
ch.1.2378509R,1.2489725939487981,ch.1.,2.228138851986274,FALSE
ch.1.238173264R,0.9274202488430824,ch.1.,2.228138851986274,FALSE
ch.1.242086458R,0.6934731681717033,ch.1.,2.228138851986274,FALSE
ch.1.2435132F,0.4456002920199428,ch.1.,2.228138851986274,FALSE
ch.1.250064R,1.9844633214725933,ch.1.,2.228138851986274,FALSE
