"subject_nr","count_trial","tot_dist","max_abs_dev","avg_abs_dev","AUC","Condition","Exemplar"
1,2,1063.00227090275,85.0821525881897,6.03217074739255,46527,"Typical","Loewe"
1,3,1032.67959000277,65.4189620288372,14.5527203587234,16242.4980615735,"Typical","Kaninchen"
1,4,1153.46371806337,99.1837292503676,18.1723397249807,54516.0103318594,"Atypical","Seeloewe"
1,5,1049.80507884077,64.340414235989,20.6840936748697,32053.5,"Typical","Alligator"
1,6,1961.69484969156,623.550219845759,92.4561279080155,228192.851796088,"Atypical","Pinguin"
1,7,1587.17670988424,598.19931721652,90.8554284560242,315863.5,"Typical","Katze"
1,8,2118.27937984627,880.764099830054,165.51640789847,550035.829833161,"Typical","Spatz"
1,9,1266.88233832662,210.788834332636,28.3628765665911,153632.733986567,"Typical","Chamaeleon"
1,10,1150.66709140742,76.8327049761992,17.54558209541,51609,"Typical","Pferd"
1,11,1028.20224414259,71.3338407719767,17.9555103009257,48131.5,"Atypical","Schmetterling"
1,12,1106.01055762847,97.7269446847738,4.65969600002108,70573.2855867329,"Typical","Hai"
1,14,1283.1525681896,154.12214031871,19.1521322488415,97678.8649004058,"Typical","Falke"
1,15,1026.17854452597,84.5308057352279,8.01934749767732,44149.3795396727,"Atypical","Wal"
1,16,1038.974216244,162.908665023392,8.22970083862614,85775.5765317103,"Atypical","Fledermaus"
1,17,1447.88297401017,276.245465996442,33.7085639404772,207243.5,"Typical","Lachs"
1,18,1246.25854742581,237.490664867243,31.6555592134502,162504.843856433,"Typical","Goldfisch"
1,19,1058.25855967678,66.7888413495036,12.2766807259328,33117.9072226254,"Typical","Hund"
2,1,1032.10937420982,96.0286172334277,17.157382528825,50450.3373865243,"Typical","Katze"
2,2,1032.5042769574,31.9075637394364,3.28400925073215,15579.5972139761,"Atypical","Pinguin"
2,3,2388.83306535984,984.891029998314,180.513059818543,463585.011504227,"Atypical","Schmetterling"
2,4,986.808024673207,37.8973452916013,7.24944820391173,22885.5723982962,"Typical","Spatz"
2,5,1848.50600919316,664.9159301368,92.3710911850653,281493.652074946,"Typical","Falke"
2,6,1173.87625160657,38.0769037438145,2.4962272511827,21351.0467473368,"Atypical","Aal"
2,7,1215.76466204245,17.6632305551114,2.15401211003082,9951.71715672994,"Typical","Hund"
2,8,1097.7993001973,78.4611408188977,5.7897809669158,49383.6416996933,"Typical","Klapperschlange"
2,9,1055.39914501977,64.8900487041499,14.3121185163922,13519.3190196247,"Atypical","Fledermaus"
2,10,1089.1817906783,56.6490806905212,19.0328273174953,29887,"Typical","Goldfisch"
2,11,1077.4662143028,26.93713569541,2.1571029977523,11485.3588118701,"Typical","Loewe"
2,12,1161.23603248502,34.6351506069221,1.82868554937228,16933.4627156492,"Typical","Hai"
2,13,1204.97794448657,193.293691100604,24.6079874656251,146548.5,"Typical","Kaninchen"
2,14,1051.41470123755,17.4975586109613,1.06720966235819,7061.61347527094,"Typical","Lachs"
2,15,1140.51543780642,65.9868644262918,7.8357362696181,43829.9999999999,"Typical","Pferd"
2,16,2327.80590829967,1019.04901791544,241.576313719261,458158,"Atypical","Wal"
2,17,1145.39007390004,144.974237311963,22.2793854622615,81827.6176120423,"Typical","Chamaeleon"
2,18,2937.21904163319,109.672778107785,54.0333417624741,106392.064420361,"Atypical","Seeloewe"
2,19,1122.04842346123,91.8478934850787,17.5339854598052,46602.2869332412,"Typical","Alligator"
3,1,2174.96254270521,617.808402724669,148.792403359512,484707.89770596,"Typical","Spatz"
3,2,1221.24764946128,44.6464788522387,6.68501557517266,27802.6354407008,"Typical","Hund"
3,3,2839.85011295295,605.776616567701,103.364904406165,125169.022439364,"Atypical","Wal"
3,4,1064.93825744153,72.38147272581,34.9763604338546,36334.4029466379,"Typical","Pferd"
3,5,1102.47249344495,45.533304950415,6.56414252149678,20281.8042204966,"Atypical","Schmetterling"
3,6,2078.17025196696,798.636120624614,230.469037215698,494752.5,"Atypical","Fledermaus"
3,7,2571.69266620388,972.266022133284,257.025843654826,414769.932752875,"Typical","Alligator"
3,8,2601.00893583977,878.116871031095,251.429131012289,401384.85473036,"Typical","Falke"
3,9,2161.22397548408,792.4956616279,136.457127559116,456937.231448384,"Typical","Chamaeleon"
3,10,1157.1048891033,141.337896499039,18.5313643482438,91712.4999999999,"Typical","Kaninchen"
3,11,3118.35382836276,686.621671381279,94.4238368165898,223373.132939847,"Atypical","Pinguin"
3,12,2069.69776995548,849.020975127799,188.27661568172,499195.5,"Typical","Katze"
3,13,1079.50164089901,58.0605440066144,9.15721149016203,30900.9362326029,"Typical","Loewe"
3,14,5241.83344645268,972.446327325605,231.588303539294,388665.906739357,"Atypical","Seeloewe"
3,16,1121.05675248455,126.143002107245,33.482917875608,72342.3285098968,"Atypical","Aal"
3,17,1171.81833779198,47.0348293622632,10.2402865176344,31908.8904695251,"Typical","Lachs"
3,18,1524.12748226751,419.169966955438,43.5046060528664,233116.798024391,"Typical","Klapperschlange"
3,19,1127.97291988843,72.6989598560643,16.4657284025523,55383.4999999999,"Typical","Goldfisch"
4,1,1150.23002364284,131.560791972469,47.4582017739772,96718.9999999999,"Typical","Katze"
4,2,2915.05438961173,865.890030500552,248.409518149113,178569.670242072,"Atypical","Fledermaus"
4,3,1216.37339688742,189.26708997449,39.7740223820647,100422.706502173,"Typical","Kaninchen"
4,4,1167.80232526134,109.635375233047,30.3243393123151,67762.0053508576,"Typical","Spatz"
